cpg	estimate	mean	weighted_mean	sd	y_int
cg03571145	-0.347544362082503	0.100313404665034	0.115817653682085	0.0235672524246381	4.09037634494563
cg03745114	-0.6153319287703	0.704947269751987	0.734679281696688	0.0438152782327129	4.09037634494563
cg04233054	0.888193532465144	0.545081939840904	0.486041697769944	0.0761778457958165	4.09037634494563
cg04414720	-0.347664028942272	0.0568488035031999	0.0689545705867926	0.0182496913552097	4.09037634494563
cg04971534	-0.19324043403238	0.0407748097095951	0.052670335510196	0.015164875493877	4.09037634494563
cg05548179	-0.0394345765358294	0.144130448617477	0.16358740027694	0.0298137423261817	4.09037634494563
cg07168214	-0.152463540951791	0.662973009128672	0.706212475485993	0.051412574914947	4.09037634494563
cg08103568	-1.22888078462459	0.611217259126024	0.657040910469354	0.0619093924574481	4.09037634494563
cg08621277	0.677493322044904	0.840038946793104	0.8156684532212	0.032284478614294	4.09037634494563
cg08893087	-0.442932671995193	0.424573438966002	0.470776233515011	0.0707914368171112	4.09037634494563
cg13659813	-0.495918809683546	0.0853272096531295	0.102874307198019	0.0237947737960226	4.09037634494563
cg14620234	-0.333093797051506	0.475443057741522	0.504609850592129	0.0437493233506289	4.09037634494563
cg15719339	-0.160869155698571	0.167046900946928	0.18714662495981	0.0293129572928298	4.09037634494563
cg17196465	0.615132109955383	0.818832172627437	0.798011042784809	0.0301419188436881	4.09037634494563
cg18714782	0.0445938806004542	0.960739599605461	0.95244492296106	0.0123392204591864	4.09037634494563
cg19556613	-0.190571441599258	0.0639924113506238	0.076909265727884	0.0198649469430717	4.09037634494563
cg21406786	-0.290685436564985	0.188555697030448	0.200862971248278	0.0189735602467554	4.09037634494563
cg22879834	0.455727086296905	0.936664632645845	0.929714343552601	0.0100696764154549	4.09037634494563
cg26974880	0.215197967345967	0.733441309317238	0.716442670249741	0.0250313863209503	4.09037634494563
cg27189723	-0.0880355888392687	0.628718696039315	0.65143910766655	0.0335268015923241	4.09037634494563
cg27402634	-1.51601144873939	0.454904852107265	0.640071904471005	0.15955537858639	4.09037634494563
